# distance_km  displacement_m  stddev_m
-30.0  0.000  0.02
-28.775510204081634  0.000  0.02
-27.551020408163264  0.000  0.02
-26.3265306122449  0.000  0.02
-25.102040816326532  0.000  0.02
-23.877551020408163  0.000  0.02
-22.653061224489797  0.000  0.02
-21.42857142857143  0.000  0.02
-20.20408163265306  0.000  0.02
-18.979591836734695  0.000  0.02
-17.755102040816327  0.000  0.02
-16.53061224489796  0.000  0.02
-15.306122448979592  0.000  0.02
-14.081632653061224  0.000  0.02
-12.857142857142858  0.000  0.02
-11.63265306122449  0.000  0.02
-10.408163265306122  0.000  0.02
-9.183673469387756  0.000  0.02
-7.95918367346939  0.000  0.02
-6.734693877551022  0.000  0.02
-5.510204081632654  0.000  0.02
-4.285714285714285  0.000  0.02
-3.0612244897959187  0.000  0.02
-1.8367346938775518  0.000  0.02
-0.612244897959183  0.000  0.02
0.612244897959183  0.000  0.02
1.8367346938775508  0.000  0.02
3.0612244897959176  0.000  0.02
4.285714285714285  0.000  0.02
5.510204081632651  0.000  0.02
6.734693877551018  0.000  0.02
7.959183673469384  0.000  0.02
9.18367346938775  0.000  0.02
10.408163265306116  0.000  0.02
11.632653061224482  0.000  0.02
12.857142857142847  0.000  0.02
14.081632653061213  0.000  0.02
15.30612244897958  0.000  0.02
16.530612244897945  0.000  0.02
17.75510204081631  0.000  0.02
18.979591836734677  0.000  0.02
20.204081632653043  0.000  0.02
21.42857142857141  0.000  0.02
22.653061224489776  0.000  0.02
23.877551020408142  0.000  0.02
25.102040816326508  0.000  0.02
26.326530612244874  0.000  0.02
27.55102040816324  0.000  0.02
28.775510204081607  0.000  0.02
30.0  0.000  0.02
