Time (years)	Fault Slip (m)	Sigma (m)
0.0000000000e+00	8.8247416972e-03	1.7766237672e-02
1.1530833449e-05	-2.3951705647e-03	1.7766237672e-02
2.3061666897e-05	1.1665561475e-02	1.7766237672e-02
3.4592500346e-05	2.7470673590e-02	1.7766237672e-02
4.6123333795e-05	4.2419099165e-02	1.7766237672e-02
5.7654167243e-05	8.0259366446e-02	1.7766237672e-02
6.9185000692e-05	1.3742993481e-01	1.7766237672e-02
8.0715834140e-05	1.4165183637e-01	1.7766237672e-02
9.2246667589e-05	1.3456469417e-01	1.7766237672e-02
1.0377750104e-04	1.6493860999e-01	1.7766237672e-02
1.1530833449e-04	1.5768250237e-01	1.7766237672e-02
1.2683916794e-04	1.6692652633e-01	1.7766237672e-02
1.3837000138e-04	1.8775027191e-01	1.7766237672e-02
1.4990083483e-04	1.5688352672e-01	1.7766237672e-02
1.6143166828e-04	1.6697761856e-01	1.7766237672e-02
1.7296250173e-04	1.9381751537e-01	1.7766237672e-02
1.8449333518e-04	1.9152092617e-01	1.7766237672e-02
1.9602416863e-04	2.2039771335e-01	1.7766237672e-02
2.0755500208e-04	2.0362838231e-01	1.7766237672e-02
2.1908583552e-04	1.9930558016e-01	1.7766237672e-02
2.3061666897e-04	2.5479928843e-01	1.7766237672e-02
2.4214750242e-04	2.2886969097e-01	1.7766237672e-02
2.5367833587e-04	2.3798418264e-01	1.7766237672e-02
2.6520916932e-04	2.1518026100e-01	1.7766237672e-02
2.7674000277e-04	2.3435252333e-01	1.7766237672e-02
2.8827083622e-04	2.4936565856e-01	1.7766237672e-02
2.9980166966e-04	2.3017030855e-01	1.7766237672e-02
3.1133250311e-04	2.6038358590e-01	1.7766237672e-02
3.2286333656e-04	2.4600379056e-01	1.7766237672e-02
3.3439417001e-04	2.5434445733e-01	1.7766237672e-02
3.4592500346e-04	2.5158287751e-01	1.7766237672e-02
3.5745583691e-04	2.9782899710e-01	1.7766237672e-02
3.6898667036e-04	2.6723786228e-01	1.7766237672e-02
3.8051750381e-04	2.5115751539e-01	1.7766237672e-02
3.9204833725e-04	2.8695422119e-01	1.7766237672e-02
4.0357917070e-04	2.5296774888e-01	1.7766237672e-02
4.1511000415e-04	2.8061487688e-01	1.7766237672e-02
4.2664083760e-04	2.4426869013e-01	1.7766237672e-02
4.3817167105e-04	2.5760595389e-01	1.7766237672e-02
4.4970250450e-04	2.8675960790e-01	1.7766237672e-02
4.6123333795e-04	2.9838551580e-01	1.7766237672e-02
4.7276417139e-04	2.9026118094e-01	1.7766237672e-02
4.8429500484e-04	2.8706280043e-01	1.7766237672e-02
4.9582583829e-04	2.8562123849e-01	1.7766237672e-02
5.0735667174e-04	2.6651100764e-01	1.7766237672e-02
5.1888750519e-04	2.8175485381e-01	1.7766237672e-02
5.3041833864e-04	2.8808389273e-01	1.7766237672e-02
5.4194917209e-04	3.1673353423e-01	1.7766237672e-02
5.5348000553e-04	3.0570454001e-01	1.7766237672e-02
5.6501083898e-04	2.6988860827e-01	1.7766237672e-02
5.7654167243e-04	3.0854611617e-01	1.7766237672e-02
5.8807250588e-04	2.9749119607e-01	1.7766237672e-02
5.9960333933e-04	2.9381907171e-01	1.7766237672e-02
6.1113417278e-04	3.1819511936e-01	1.7766237672e-02
6.2266500623e-04	3.2709834251e-01	1.7766237672e-02
6.3419583968e-04	3.2675217165e-01	1.7766237672e-02
6.4572667312e-04	2.9669565424e-01	1.7766237672e-02
6.5725750657e-04	3.0748450915e-01	1.7766237672e-02
6.6878834002e-04	3.2021104816e-01	1.7766237672e-02
6.8031917347e-04	3.3298113103e-01	1.7766237672e-02
6.9185000692e-04	3.0843663458e-01	1.7766237672e-02
7.0338084037e-04	3.1492926379e-01	1.7766237672e-02
7.1491167382e-04	2.9982861679e-01	1.7766237672e-02
7.2644250726e-04	2.9946729397e-01	1.7766237672e-02
7.3797334071e-04	3.3637001384e-01	1.7766237672e-02
7.4950417416e-04	3.4722526846e-01	1.7766237672e-02
7.6103500761e-04	3.2302715548e-01	1.7766237672e-02
7.7256584106e-04	3.4329364033e-01	1.7766237672e-02
7.8409667451e-04	3.3302985848e-01	1.7766237672e-02
7.9562750796e-04	3.1626662588e-01	1.7766237672e-02
8.0715834140e-04	3.3525488206e-01	1.7766237672e-02
8.1868917485e-04	3.5724935836e-01	1.7766237672e-02
8.3022000830e-04	3.3036193470e-01	1.7766237672e-02
8.4175084175e-04	3.5985510519e-01	1.7766237672e-02
8.5328167520e-04	2.8655818927e-01	1.7766237672e-02
8.6481250865e-04	3.4873274669e-01	1.7766237672e-02
8.7634334210e-04	3.3669245473e-01	1.7766237672e-02
8.8787417555e-04	3.3083532176e-01	1.7766237672e-02
8.9940500899e-04	3.3876604603e-01	1.7766237672e-02
9.1093584244e-04	3.0279942035e-01	1.7766237672e-02
9.2246667589e-04	3.3517087180e-01	1.7766237672e-02
9.3399750934e-04	3.4636839206e-01	1.7766237672e-02
9.4552834279e-04	3.6721866287e-01	1.7766237672e-02
9.5705917624e-04	3.3268080605e-01	1.7766237672e-02
9.6859000969e-04	3.2843966115e-01	1.7766237672e-02
9.8012084313e-04	3.3479308832e-01	1.7766237672e-02
9.9165167658e-04	3.6086365610e-01	1.7766237672e-02
1.0031825100e-03	3.5132342429e-01	1.7766237672e-02
1.0147133435e-03	3.3694287639e-01	1.7766237672e-02
1.0262441769e-03	3.5633538147e-01	1.7766237672e-02
1.0377750104e-03	3.4979317415e-01	1.7766237672e-02
1.0493058438e-03	3.6611988774e-01	1.7766237672e-02
1.0608366773e-03	3.3727064410e-01	1.7766237672e-02
